ID,First author,Pub. year,Journal,Region,Start Year,End,Period,Season,Research type,Technique,Livestock,Livestock Sub,Collection Setting,Feed additives,Manure type,Treatment,GHG source,Field crop,CO2,CH4,N2O,NH3
1,VanderZaag,2022,Journal of Environmental Quality,Manitoba,2016,2018,Multiple Years,Year-Round,Farm,Micrometeorological,Swine,"Growers, Finishers",Indoor,NA,Liquid,Intermittent Agitation,Storage,NA,F,T,F,F
2,Romero,2022,Science of the Total Environment,Alberta,2019,2019,Single Year,Growing,Farm,Soil chamber,Beef Cattle,Steers,Indoor,Others,Solid,"Stockpile, Compost, pyrolysis",Storage,NA,T,T,T,F
3,Turner,2022,"Resources, Conservation & Recycling",National,2019,2019,Single Year,Growing,LCA,Mixed,Poultry,Layers,Mixed,Others,Liquid,NA,"Storage, Field",Annual crop,F,T,T,T
4,Gong,2022,Frontiers of Environmental Science & Engineering,Alberta,2019,2019,Single Year,Growing,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Solid,Pyrolysis,Field,NA,T,F,T,F
5,Mahato,2022,Bioresource Technology,Quebec,2020,2020,Single Year,Growing,Pilot,Incubation,Poultry,Whole herd,Indoor,NA,"Solid, Liquid",Digester,Storage,NA,T,T,F,F
6,Wedwitschka,2022,Waste Management,Alberta,2020,2020,Single Year,NA,Pilot,Incubation,Dairy Cattle,Whole herd,Indoor,NA,"Solid, Liquid",Digester,Storage,NA,F,T,F,F
7,Abbasi,2021,Biosystems Engineering,Ontario,2012,2015,Multiple Years,Growing,Farm,"Soil chamber, Modelling",Dairy Cattle,Whole herd,Indoor,NA,Solid,NA,Field,Annual crop,T,F,F,F
8,Benchaar,2021,Journal of Dairy Science,Quebec,NA,NA,Single Year,NA,Farm,Animal chamber,Dairy Cattle,Cows,Indoor,Others,Solid,NA,Enteric,NA,F,T,F,F
9,Benchaar,2021,Journal of Dairy Science,Quebec,NA,NA,Single Year,NA,Farm,"Animal chamber, Incubation",Dairy Cattle,Cows,Indoor,Others,"Solid, Liquid",Digester,Enteric,NA,F,T,F,F
10,Holtshausen,2021,Animals,Regional,NA,NA,Single Year,Growing,LCA,Mixed,Dairy Cattle,Cows,Indoor,Others,Solid,Stockpile,"Enteric, Field, Storage","Annual crop, Grass",T,T,T,F
11,Hung,2021,"Agriculture, Ecosystems and Environment",Quebec,2018,2019,Single Year,Non-Growing,Field,Soil chamber,Dairy Cattle,Cows,Indoor,NA,"Solid, Liquid",Compost,Field,Annual crop,F,F,T,F
12,Hung,2021,Applied Soil Ecology,Quebec,2071,2100,Single Year,Non-Growing,Field,Modelling,Dairy Cattle,Cows,Indoor,NA,"Solid, Liquid",Compost,Field,Annual crop,F,F,T,F
13,Pokharel,2021,Journal of Environmental Management,Alberta,NA,NA,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Solid,Pyrolysis,Field,NA,F,F,T,F
14,Pokharel,2021,Soil Biology and Biochemistry,Alberta,NA,NA,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Solid,Pyrolysis,Field,NA,T,F,T,F
15,Adghim,2021,Waste and Biomass Valorization,Ontario,NA,NA,Single Year,NA,Lab,Incubation,Poultry,Whole herd,Indoor,NA,Liquid,"Digester, Hydrolysis",Storage,NA,F,T,F,F
16,Arias,2021,Jounral of Environmental Management,Ontario,NA,NA,Single Year,NA,Pilot,Incubation,Swine,Whole herd,Indoor,NA,"Solid, Liquid",Digester,Storage,NA,T,T,F,F
17,Sokolov,2021,Frontiers in Sustainable Food Systems,Nova Scotia,2019,2019,Single Year,Growing,Pilot,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Liquid,"Solid-Liquid Seperation, Acidification",Storage,NA,F,T,T,F
18,Ejack,2021,Biology and Fertility of Soils,Quebec,2018,2018,Single Year,Non-Growing,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,"Solid, Liquid",NA,Field,NA,F,F,T,F
19,Romero,2021,Pedosphere,Alberta,NA,NA,Single Year,NA,Lab,Incubation,Beef Cattle,Heifers,Indoor,Biochar,Liquid,NA,Field,NA,T,T,T,F
20,Adelekun,2021,"Agriculture, Ecosystems and Environment",Manitoba,2011,2014,Multiple Years,Growing,Field,Soil chamber,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,Annual crop,F,F,T,F
21,Lin,2021,Science of the Total Environment,Alberta,2016,NA,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,NA,F,F,T,F
22,Lin,2021,Canadian Journal of Soil Science,Alberta,2015,2015,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,NA,T,F,T,F
23,Sokolov,2021,Environmental Technology,Nova Scotia,2017,2017,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Liquid,"Solid-Liquid Seperation, Acidification",Storage,NA,F,T,F,F
24,Pelster,2021,Soil & Tillage Research,Quebec,2016,2018,Multiple Years,Growing,Field,Soil chamber,"Dairy Cattle, Swine","Whole herd, Growers, Finisherss",Indoor,NA,Liquid,Storage,Field,,F,F,T,F
25,Rennie,2021,Science of the Total Environment,National,1971,2000,Single Year,Year-Round,Farm,Modelling,Dairy Cattle,Whole herd,NA,NA,Liquid,NA,Storage,NA,F,T,F,F
26,Lin,2021,Science of the Total Environment,Alberta,2014,2016,Multiple Years,Year-Round,Field,Modelling,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,,F,F,T,F
27,Zhang,2021,Journal of Cleaner Production,British Columbia,2019,2019,Single Year,Year-Round,LCA,Mixed,Dairy Cattle,Whole herd,Indoor,NA,"Solid, Liquid",NA,"Storage, Field",,T,T,T,F
28,Binggeli,2021,Journal of Dairy Science,Regional,2010,2014,Multiple Years,Year-Round,LCA,Mixed,Dairy Cattle,Whole herd,Indoor,Others,Liquid,NA,"Storage, Field",,T,T,T,F
29,Sharifi,2021,Acta Horticulturae,British Columbia,2011,2018,Multiple Years,NA,Lab,Incubation,Dairy Cattle,Cows,Indoor,NA,Solid,Compost,Field,NA,T,F,F,F
30,Wang,2021,Environmental Pollution,British Columbia,2019,2019,Single Year,Year-Round,LCA,Mixed,"Dairy Cattle, Poultry",Whole herd,Indoor,NA,Liquid,Digester,Storage,NA,T,T,T,F
31,Ashiq,2020,Environmental Pollution,Newfounland,2016,2017,Multiple Years,Growing,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,Annual crop,T,T,T,F
32,Abassi,2020,Geoderma,Ontario,2012,2014,Multiple Years,Growing,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Solid,NA,Field,Annual crop,F,F,T,F
33,Benchaar,2020,Journal of Dairy Science,Quebec,NA,NA,Single Year,NA,Farm,Animal chamber,Dairy Cattle,Cows,Indoor,NA,"Solid, Liquid",NA,Enteric,NA,F,T,F,F
34,Cluett,2020,Animals,Regional,2017,2019,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,"AgriMestMix, Penergetic-g",Liquid,NA,Storage,NA,F,T,F,F
35,Johannesson,2020,Biocatalysis and Agricultural Biotechnology,Ontario,NA,NA,Single Year,NA,Lab,Incubation,"Dairy Cattle, Poultry",Whole herd,Indoor,NA,"Solid, Liquid",Digester,Storage,NA,F,T,F,F
36,Grant,2020,Biogeosciences,Alberta,2014,2016,Multiple Years,Growing,Field,"Soil chamber, Modelling",Dairy Cattle,Whole herd,Indoor,NA,Liquid,Nitrification inhibitor,Field,Annual crop,F,F,T,F
37,Flores-Orozco,2020,Bioresource Technology,Manitoba,NA,NA,Single Year,NA,Lab,"Incubation, Modelling",Dairy Cattle,Whole herd,Indoor,NA,Liquid,Antibiotic,Storage,NA,T,T,F,F
38,Le Riche,2020,Jounral of Environmental Quality,Nova Scotia,2015,2015,Single Year,Year-Round,Pilot,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Storage,NA,F,T,T,T
39,Debruyn,2020,Jounral of Environmental Quality,Ontario,2011,2015,Multiple Years,Year-Round,Farm,Micrometeorological,Dairy Cattle,Whole herd,Indoor,NA,Liquid,"Solid-Liquid Seperation, Digester",Storage,NA,F,T,F,F
40,Wu,2020,Biology and Fertility of Soil,Alberta,NA,NA,Single Year,NA,Lab,Incubation,Dairy Cattle,Cows,Indoor,NA,Liquid,NA,Field,Grass,T,T,T,F
41,Weber,2020,Canadian Journal of Soil Science,Alberta,NA,NA,Single Year,NA,Lab,Incubation,Beef Cattle,Steers,Indoor,NA,Solid,NA,Field,NA,T,F,F,F
42,Sokolov,2020,Frontiers in Sustainable Food Systems,Nova Scotia,2018,2018,Single Year,Growing,Pilot,Soil chamber,Dairy Cattle,Cows,Indoor,NA,Liquid,Acidification,Storage,NA,F,T,T,T
43,Owens,2020,Scientific Reports,Alberta,2016,2017,Single Year,Non-Growing,Field,Soil chamber,Beef Cattle,Steers,Indoor,"3-NOP, Monensin",Solid,"Stockpile, Compost",Enteric,,T,T,T,T
44,Chen,2020,Journal of Environmental Management,Saskatchewan,2014,2014,Single Year,Year-Round,LCA,Mixed,Beef Cattle,Whole herd,Mixed,NA,"Solid, Liquid",NA,"Enteric, Field, Storage",,T,T,T,F
45,Liang,2020,Science of the Total Environment,National,1990,2016,Multiple Years,Year-Round,Farm,Modelling,"Beef Cattle, Dairy Cattle","Whole herd, Heifers, Steers",Mixed,NA,"Solid, Liquid",NA,"Enteric, Field, Storage",,T,T,T,F
46,He,2020,Science of the Total Environment,Regional,2001,2006,Multiple Years,Year-Round,Field,"Soil chamber, Modelling","Dairy Cattle, Swine",Whole herd,Indoor,NA,Liquid,NA,Field,,F,F,T,F
47,Boh,2020,"Resources, Conservation & Recycling",Ontario,2011,2011,Single Year,Year-Round,Farm,Modelling,"Beef Cattle, Dairy Cattle, Swine, Poultry, Sheep",Whole herd,Mixed,NA,"Solid, Liquid",NA,"Storage, Field",,F,F,T,T
48,Jiang,2020,American Society of Agricultural and Biological Engineers,Ontario,2012,2015,Multiple Years,Year-Round,Field,"Soil chamber, Modelling",Dairy Cattle,Whole herd,Indoor,NA,Solid,NA,Field,,T,F,T,F
49,Létourneau,2020,American Society of Agricultural and Biological Engineers,Quebec,2011,2011,Single Year,Growing,Farm,Animal chamber,Swine,"Growers, Finishers",Indoor,NA,Solid,NA,"Enteric, Storage",,T,T,T,T
50,Sokolov,2019,Nutrient Cycling in Agroecosystems,Nova Scotia,2016,2016,Single Year,Growing,Pilot,Soil chamber,Dairy Cattle,Cows,Indoor,NA,Liquid,NA,Storage,NA,F,T,T,T
51,Rajagopal,2019,International Journal of Environmental Science and Technology,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Liquid,Digester,Storage,NA,F,T,F,F
52,Maltais-Landry,2019,"Agriculture, Ecosystems and Environment",British Columbia,2015,2016,Multiple Years,Growing,Field,Soil chamber,Poultry,Whole herd,Indoor,NA,Solid,Compost,Field,Annual crop,T,T,T,F
53,Hassanat,2019,Journal of Dairy Science,Quebec,NA,NA,Single Year,NA,Farm,Incubation,Dairy Cattle,Cows,Indoor,Others,Liquid,NA,Storage,NA,F,T,F,F
54,Benchaar,2019,Journal of Dairy Science,Quebec,NA,NA,Single Year,NA,Farm,Incubation,Dairy Cattle,Cows,Indoor,Others,Liquid,NA,Storage,NA,F,T,F,F
55,Hunt,2019,Frontiers in Sustainable Food Systems,British Columbia,2008,2013,Multiple Years,Year-Round,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,Grass,F,F,T,F
56,McVoitte,2019,Heliyon,Quebec,NA,NA,Single Year,NA,Pilot,Incubation,Dairy Cattle,Cows,Indoor,NA,Liquid,Digester,Storage,NA,F,T,F,F
57,Pokharel,2019,Science of the Total Environment,Alberta,NA,NA,Single Year,Growing,Pilot,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Solid,"Solid-Liquid Separation, Digester",Field,Annual crop,T,F,F,F
58,Quesnel,2019,Nutrient Cycling in Agroecosystems,Ontario,2015,2016,Multiple Years,Year-Round,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,Annual crop,F,F,T,F
59,Adelekun,2019,Canadian Journal of Soil Science,Manitoba,2013,2014,Multiple Years,Growing,Field,Soil chamber,Swine,Whole herd,Indoor,NA,"Solid, Liquid",NA,Field,"Annual crop, Perennial crop",F,F,T,F
60,McGinn,2019,Journal of Environmental Quality,Alberta,2017,2018,Single Year,Non-Growing,Farm,Micrometeorological,Beef Cattle,Whole herd,Outdoor,"3-NOP, Monensin","Solid, Liquid",NA,"Enteric, Field, Storage",NA,F,T,F,F
61,Sokolov,2019,Journal of Environmental Quality,Nova Scotia,2017,2017,Single Year,Growing,Pilot,Soil chamber,Dairy Cattle,Cows,Indoor,NA,Liquid,Acidification,Storage,NA,F,T,T,T
62,Koupaie,2019,Waste Management,Ontario,NA,NA,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Storage,NA,T,T,F,F
63,VanderZaag,2019,Journal of the Air & Waste Management Association,Ontario,2016,2016,Single Year,Growing,Farm,Micrometeorological,Dairy Cattle,"Cows, Heifers",Indoor,NA,Liquid,"Intermittent Agitation, Solid-Liquid Separation",Storage,NA,F,T,F,F
64,Dimitrov,2019,Environmental Development,Alberta,2011,2011,Single Year,Year-Round,Farm,Modelling,"Beef Cattle, Dairy Cattle, Swine, Poultry, Sheep",Whole herd,Mixed,NA,"Solid, Liquid",NA,"Enteric, Field, Storage",,F,T,T,F
65,Shen,2019,Agricultural Systems,Alberta,2008,2011,Multiple Years,Growing,Field,"Soil chamber, Modelling",Beef Cattle,Steers,Mixed,NA,Solid,Digester,Field,,F,F,T,F
66,Mirmasoudi,2019,Canadian Water Resources Journal,British Columbia,2011,2100,Multiple Years,Year-Round,Field,Modelling,Beef Cattle,Whole herd,Mixed,NA,Solid,Stockpile,"Enteric, Field, Storage",,F,T,T,F
67,Maltais-Landry,2019,Agronomy,British Columbia,2015,2016,Single Year,Non-Growing,Field,Collar,"Poultry, Horse",Whole herd,Mixed,NA,Solid,NA,Field,,T,T,T,F
68,Huang,2019,Environmental Pollution,Saskatchewan,2015,2016,Single Year,Year-Round,Farm,Animal chamber,Poultry,"Broilers, Layers",Indoor,NA,Solid,NA,Storage,NA,T,T,T,F
69,Alvarez-Hess,2019,Agricultural Systems,Alberta,2016,2016,Single Year,Year-Round,LCA,Mixed,Dairy Cattle,Whole herd,Mixed,"3-NOP, Nitrate",Solid,Stockpile,"Enteric, Field, Storage",,T,T,T,F
70,Fournel,2019,American Society of Agricultural and Biological Engineers,Quebec,2010,2014,Single Year,Year-Round,Farm,Modelling,Dairy Cattle,"Cows, Heifers",Indoor,NA,"Solid, Liquid",Stockpile,"Enteric, Field, Storage",,T,T,T,F
71,Smith,2019,Journal of Environmental Quality,Ontario,1986,2015,Multiple Years,Year-Round,Field,Modelling,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,,F,F,T,T
72,He,2019,Journal of Environmental Quality,Ontario,1966,2015,Multiple Years,Year-Round,Field,"Soil chamber, Modelling",Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,,F,F,T,T
73,Zhu,2019,IOP Conference Series: Earth and Environmental Science,Alberta,2015,2015,Single Year,NA,Lab,Incubation,NA,NA,NA,NA,NA,NA,Field,NA,T,T,T,F
74,Cherif,2018,Journal of Dairy Science,Quebec,NA,NA,Single Year,NA,Farm,Animal chamber,Dairy Cattle,Cows,Indoor,Other,"Solid, Liquid",NA,Enteric,NA,F,T,F,F
75,Brassard,2018,Geoderma,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Swine,Whole herd,Indoor,NA,Solid,Pyrolysis,Field,NA,T,F,T,F
76,Maltais-Landry,2018,Jounral of Environmental Quality,British Columbia,2016,2016,Single Year,Growing,Lab,Incubation,"Horse, Poultry",Whole herd,Indoor,NA,Solid,NA,Field,NA,T,T,T,T
77,Habtewold,2018,Jounral of Environmental Quality,Ontario,NA,NA,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Liquid,Antibiotics,Storage,NA,T,T,F,F
78,Maltais-Landry,2018,Jounral of the Air & Waste Management Association,British Columbia,2015,2016,Single Year,Non-Growing,Farm,Soil chamber,"Horse, Poultry","Whole herd, Broiler",Indoor,NA,Solid,Stockpile,Storage,NA,T,T,T,F
79,VanderZaag,2018,Environmental Technology,Ontario,NA,NA,Single Year,NA,Farm,Incubation,Dairy Cattle,Whole herd,Indoor,NA,"Solid, Liquid","Solid-Liquid Separation, Compost, Digester",Storage,NA,F,T,F,F
80,Westphal,2018,"Agriculture, Ecosystems and Environment",Manitoba,2014,2015,Multiple Years,Growing,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Solid,Compost,Field,Annaual crop,F,F,T,F
81,Maldaner,2018,Agricultural and Forest Meteorology,Ontario,2013,2013,Single Year,Year-Round,Farm,Micrometeorological,Dairy Cattle,"Cows, Heifers, Calves",Indoor,NA,Liquid,"Digester, Solid-Liquid Separation",Storage,NA,F,T,F,F
82,Mechler,2018,Biomass and Bioenergy,Ontario,2016,2017,Multiple Years,Growing,Field,Soil chamber,Poultry,NA,Indoor,NA,Solid,NA,Field,,T,F,T,F
83,Kariyapperuma,2018,Agricultural and Forest Meteorology,Ontario,2010,2011,Multiple Years,Year-Round,Farm,Micrometeorological,Dairy Cattle,"Cows, Heifers",Indoor,NA,Liquid,NA,Storage,NA,F,T,F,T
84,Fedrizzi,2018,Waste Management,National,2013,2015,Single Year,NA,Lab,Incubation,Dairy Cattle,NA,Indoor,NA,Liquid,Compost,Storage,NA,F,T,F,F
85,Yitbarek,2017,Journal of Cleaner Production,Manitoba,NA,NA,Single Year,NA,Lab,Incubation,Swine,Weaners,Indoor,Phytase,"Solid, Liquid",NA,Field,NA,T,T,T,F
86,Little,2017,Climate,Quebec,NA,NA,Single Year,Year-Round,LCA,Mixed,Dairy Cattle,Whole herd,Indoor,Other,"Solid, Liquid",NA,"Enteric, Field, Storage",Annual crop,F,T,T,F
87,Fillingham,2017,Waste Management,Ontario,NA,NA,Single Year,Year-Round,Farm,Micrometeorological,Dairy Cattle,Cows,Indoor,NA,Solid,"Solid-Liquid Separation, Compost",Storage,NA,T,T,T,T
